asset_id,department,asset_type,division,section_id,section_name,km_location,traffic_density,asset_age_years,condition_index,asset_criticality
EN-SEC-A02-016,ENGINEERING,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,146.725,HIGH,ACTIVE,2,LOW
EN-SEC-A02-017,ENGINEERING,Ballast,Demo Division,SEC-A02,Wardha–Badnera,140.965,HIGH,ACTIVE,1,MEDIUM
EN-SEC-A02-018,ENGINEERING,Bridge Approach,Demo Division,SEC-A02,Wardha–Badnera,88.016,HIGH,ACTIVE,3,LOW
EN-SEC-A02-019,ENGINEERING,Ballast,Demo Division,SEC-A02,Wardha–Badnera,119.917,HIGH,UNDER_MAINTENANCE,9,HIGH
EN-SEC-A02-020,ENGINEERING,Rail,Demo Division,SEC-A02,Wardha–Badnera,83.803,HIGH,ACTIVE,9,HIGH
TR-SEC-A02-001,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,106.087,HIGH,ACTIVE,7,HIGH
TR-SEC-A02-002,TRACTION,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,101.466,HIGH,ACTIVE,15,MEDIUM
TR-SEC-A02-003,TRACTION,Catenary Wire,Demo Division,SEC-A02,Wardha–Badnera,129.801,HIGH,ACTIVE,6,LOW
TR-SEC-A02-004,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,108.903,HIGH,ACTIVE,15,HIGH
TR-SEC-A02-005,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,90.418,HIGH,ACTIVE,15,MEDIUM
TR-SEC-A02-006,TRACTION,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,91.696,HIGH,ACTIVE,13,MEDIUM
TR-SEC-A02-007,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,128.879,HIGH,ACTIVE,5,HIGH
TR-SEC-A02-008,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,131.257,HIGH,UNDER_MAINTENANCE,14,HIGH
TR-SEC-A02-009,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,113.778,HIGH,ACTIVE,14,MEDIUM
TR-SEC-A02-010,TRACTION,Section Insulator,Demo Division,SEC-A02,Wardha–Badnera,101.233,HIGH,ACTIVE,4,HIGH
TR-SEC-A02-011,TRACTION,Feeder,Demo Division,SEC-A02,Wardha–Badnera,92.739,HIGH,ACTIVE,5,HIGH
TR-SEC-A02-012,TRACTION,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,99.258,HIGH,UNDER_MAINTENANCE,11,LOW
TR-SEC-A02-013,TRACTION,Section Insulator,Demo Division,SEC-A02,Wardha–Badnera,149.294,HIGH,ACTIVE,15,MEDIUM
TR-SEC-A02-014,TRACTION,Catenary Wire,Demo Division,SEC-A02,Wardha–Badnera,122.109,HIGH,ACTIVE,1,HIGH
TR-SEC-A02-015,TRACTION,Dropper,Demo Division,SEC-A02,Wardha–Badnera,111.04,HIGH,ACTIVE,7,LOW
TR-SEC-A02-016,TRACTION,Dropper,Demo Division,SEC-A02,Wardha–Badnera,86.866,HIGH,ACTIVE,5,HIGH
TR-SEC-A02-017,TRACTION,Feeder,Demo Division,SEC-A02,Wardha–Badnera,111.153,HIGH,ACTIVE,6,MEDIUM
TR-SEC-A02-018,TRACTION,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,150.025,HIGH,ACTIVE,10,MEDIUM
TR-SEC-A02-019,TRACTION,Feeder,Demo Division,SEC-A02,Wardha–Badnera,142.38,HIGH,ACTIVE,9,MEDIUM
TR-SEC-A02-020,TRACTION,Feeder,Demo Division,SEC-A02,Wardha–Badnera,109.056,HIGH,UNDER_MAINTENANCE,12,MEDIUM
S&-SEC-A02-001,S&T,Track Circuit,Demo Division,SEC-A02,Wardha–Badnera,87.748,HIGH,UNDER_MAINTENANCE,11,MEDIUM
S&-SEC-A02-002,S&T,Cable,Demo Division,SEC-A02,Wardha–Badnera,134.809,HIGH,ACTIVE,10,LOW
S&-SEC-A02-003,S&T,Axle Counter,Demo Division,SEC-A02,Wardha–Badnera,108.88,HIGH,ACTIVE,5,MEDIUM
S&-SEC-A02-004,S&T,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,110.686,HIGH,ACTIVE,8,MEDIUM
S&-SEC-A02-005,S&T,Relay,Demo Division,SEC-A02,Wardha–Badnera,129.313,HIGH,UNDER_MAINTENANCE,13,LOW
S&-SEC-A02-006,S&T,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,128.041,HIGH,ACTIVE,9,LOW
S&-SEC-A02-007,S&T,Cable,Demo Division,SEC-A02,Wardha–Badnera,125.04,HIGH,ACTIVE,14,HIGH
S&-SEC-A02-008,S&T,Cable,Demo Division,SEC-A02,Wardha–Badnera,101.63,HIGH,ACTIVE,3,HIGH
S&-SEC-A02-009,S&T,Signal,Demo Division,SEC-A02,Wardha–Badnera,96.659,HIGH,UNDER_MAINTENANCE,10,HIGH
S&-SEC-A02-010,S&T,Relay,Demo Division,SEC-A02,Wardha–Badnera,109.515,HIGH,ACTIVE,12,LOW
S&-SEC-A02-011,S&T,Relay,Demo Division,SEC-A02,Wardha–Badnera,115.574,HIGH,ACTIVE,3,LOW
S&-SEC-A02-012,S&T,Cable,Demo Division,SEC-A02,Wardha–Badnera,78.52,HIGH,ACTIVE,13,MEDIUM
S&-SEC-A02-013,S&T,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,91.432,HIGH,UNDER_MAINTENANCE,1,LOW
S&-SEC-A02-014,S&T,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,147.644,HIGH,ACTIVE,8,HIGH
S&-SEC-A02-015,S&T,Electronic Interlocking,Demo Division,SEC-A02,Wardha–Badnera,113.32,HIGH,ACTIVE,13,MEDIUM
S&-SEC-A02-016,S&T,Track Circuit,Demo Division,SEC-A02,Wardha–Badnera,139.877,HIGH,UNDER_MAINTENANCE,14,LOW
S&-SEC-A02-017,S&T,Relay,Demo Division,SEC-A02,Wardha–Badnera,146.108,HIGH,UNDER_MAINTENANCE,8,MEDIUM
S&-SEC-A02-018,S&T,Electronic Interlocking,Demo Division,SEC-A02,Wardha–Badnera,96.841,HIGH,ACTIVE,13,LOW
S&-SEC-A02-019,S&T,Relay,Demo Division,SEC-A02,Wardha–Badnera,125.608,HIGH,ACTIVE,8,HIGH
S&-SEC-A02-020,S&T,Cable,Demo Division,SEC-A02,Wardha–Badnera,99.758,HIGH,ACTIVE,6,MEDIUM
EN-SEC-B01-001,ENGINEERING,Turnout,Demo Division,SEC-B01,Badnera–Akola,161.175,MEDIUM,ACTIVE,4,MEDIUM
EN-SEC-B01-002,ENGINEERING,Track Circuit Bond,Demo Division,SEC-B01,Badnera–Akola,167.516,MEDIUM,ACTIVE,2,MEDIUM
EN-SEC-B01-003,ENGINEERING,Ballast,Demo Division,SEC-B01,Badnera–Akola,183.151,MEDIUM,UNDER_MAINTENANCE,7,HIGH
EN-SEC-B01-004,ENGINEERING,Weld,Demo Division,SEC-B01,Badnera–Akola,227.228,MEDIUM,UNDER_MAINTENANCE,15,LOW
EN-SEC-B01-005,ENGINEERING,Track Circuit Bond,Demo Division,SEC-B01,Badnera–Akola,155.815,MEDIUM,UNDER_MAINTENANCE,8,HIGH
EN-SEC-B01-006,ENGINEERING,Sleeper,Demo Division,SEC-B01,Badnera–Akola,180.318,MEDIUM,UNDER_MAINTENANCE,14,MEDIUM
EN-SEC-B01-007,ENGINEERING,Turnout,Demo Division,SEC-B01,Badnera–Akola,219.732,MEDIUM,ACTIVE,8,HIGH
EN-SEC-B01-008,ENGINEERING,Sleeper,Demo Division,SEC-B01,Badnera–Akola,192.366,MEDIUM,ACTIVE,7,MEDIUM
EN-SEC-B01-009,ENGINEERING,Track Circuit Bond,Demo Division,SEC-B01,Badnera–Akola,213.729,MEDIUM,UNDER_MAINTENANCE,12,HIGH
EN-SEC-B01-010,ENGINEERING,Bridge Approach,Demo Division,SEC-B01,Badnera–Akola,195.137,MEDIUM,ACTIVE,10,LOW
EN-SEC-B01-011,ENGINEERING,Rail,Demo Division,SEC-B01,Badnera–Akola,233.728,MEDIUM,ACTIVE,2,LOW
EN-SEC-B01-012,ENGINEERING,Ballast,Demo Division,SEC-B01,Badnera–Akola,166.014,MEDIUM,UNDER_MAINTENANCE,3,HIGH
EN-SEC-B01-013,ENGINEERING,Sleeper,Demo Division,SEC-B01,Badnera–Akola,187.385,MEDIUM,ACTIVE,8,MEDIUM
EN-SEC-B01-014,ENGINEERING,Sleeper,Demo Division,SEC-B01,Badnera–Akola,220.936,MEDIUM,UNDER_MAINTENANCE,5,MEDIUM
EN-SEC-B01-015,ENGINEERING,Sleeper,Demo Division,SEC-B01,Badnera–Akola,227.405,MEDIUM,UNDER_MAINTENANCE,1,LOW
EN-SEC-B01-016,ENGINEERING,Turnout,Demo Division,SEC-B01,Badnera–Akola,158.673,MEDIUM,ACTIVE,4,LOW
EN-SEC-B01-017,ENGINEERING,Rail,Demo Division,SEC-B01,Badnera–Akola,222.692,MEDIUM,ACTIVE,13,HIGH
EN-SEC-B01-018,ENGINEERING,Weld,Demo Division,SEC-B01,Badnera–Akola,171.604,MEDIUM,ACTIVE,10,HIGH
EN-SEC-B01-019,ENGINEERING,Weld,Demo Division,SEC-B01,Badnera–Akola,165.182,MEDIUM,ACTIVE,10,HIGH
EN-SEC-B01-020,ENGINEERING,Ballast,Demo Division,SEC-B01,Badnera–Akola,215.513,MEDIUM,ACTIVE,3,LOW
TR-SEC-B01-001,TRACTION,Dropper,Demo Division,SEC-B01,Badnera–Akola,238.716,MEDIUM,ACTIVE,13,HIGH
TR-SEC-B01-002,TRACTION,Section Insulator,Demo Division,SEC-B01,Badnera–Akola,163.591,MEDIUM,ACTIVE,15,MEDIUM
TR-SEC-B01-003,TRACTION,Dropper,Demo Division,SEC-B01,Badnera–Akola,213.571,MEDIUM,UNDER_MAINTENANCE,7,LOW
TR-SEC-B01-004,TRACTION,Catenary Wire,Demo Division,SEC-B01,Badnera–Akola,160.772,MEDIUM,ACTIVE,2,LOW
TR-SEC-B01-005,TRACTION,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,180.579,MEDIUM,ACTIVE,13,LOW
TR-SEC-B01-006,TRACTION,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,157.706,MEDIUM,UNDER_MAINTENANCE,11,MEDIUM
TR-SEC-B01-007,TRACTION,OHE Contact Wire,Demo Division,SEC-B01,Badnera–Akola,198.523,MEDIUM,ACTIVE,1,MEDIUM
TR-SEC-B01-008,TRACTION,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,197.14,MEDIUM,UNDER_MAINTENANCE,6,LOW
TR-SEC-B01-009,TRACTION,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,194.465,MEDIUM,ACTIVE,7,HIGH
TR-SEC-B01-010,TRACTION,Feeder,Demo Division,SEC-B01,Badnera–Akola,199.909,MEDIUM,ACTIVE,10,LOW
TR-SEC-B01-011,TRACTION,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,196.551,MEDIUM,UNDER_MAINTENANCE,14,LOW
TR-SEC-B01-012,TRACTION,Dropper,Demo Division,SEC-B01,Badnera–Akola,177.665,MEDIUM,ACTIVE,14,HIGH
TR-SEC-B01-013,TRACTION,Section Insulator,Demo Division,SEC-B01,Badnera–Akola,231.507,MEDIUM,ACTIVE,13,MEDIUM
TR-SEC-B01-014,TRACTION,Dropper,Demo Division,SEC-B01,Badnera–Akola,207.687,MEDIUM,UNDER_MAINTENANCE,6,HIGH
TR-SEC-B01-015,TRACTION,Mast,Demo Division,SEC-B01,Badnera–Akola,228.814,MEDIUM,ACTIVE,8,HIGH
TR-SEC-B01-016,TRACTION,Section Insulator,Demo Division,SEC-B01,Badnera–Akola,224.15,MEDIUM,ACTIVE,5,LOW
TR-SEC-B01-017,TRACTION,Feeder,Demo Division,SEC-B01,Badnera–Akola,231.373,MEDIUM,ACTIVE,9,HIGH
TR-SEC-B01-018,TRACTION,OHE Contact Wire,Demo Division,SEC-B01,Badnera–Akola,175.291,MEDIUM,UNDER_MAINTENANCE,8,LOW
TR-SEC-B01-019,TRACTION,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,175.2,MEDIUM,UNDER_MAINTENANCE,11,LOW
TR-SEC-B01-020,TRACTION,Mast,Demo Division,SEC-B01,Badnera–Akola,193.45,MEDIUM,ACTIVE,2,MEDIUM
S&-SEC-B01-001,S&T,Point Machine,Demo Division,SEC-B01,Badnera–Akola,189.606,MEDIUM,ACTIVE,5,LOW
S&-SEC-B01-002,S&T,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,186.5,MEDIUM,ACTIVE,7,LOW
S&-SEC-B01-003,S&T,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,183.143,MEDIUM,UNDER_MAINTENANCE,5,MEDIUM
S&-SEC-B01-004,S&T,Axle Counter,Demo Division,SEC-B01,Badnera–Akola,174.341,MEDIUM,ACTIVE,6,HIGH
S&-SEC-B01-005,S&T,Cable,Demo Division,SEC-B01,Badnera–Akola,201.149,MEDIUM,ACTIVE,4,HIGH
S&-SEC-B01-006,S&T,Cable,Demo Division,SEC-B01,Badnera–Akola,196.613,MEDIUM,ACTIVE,2,HIGH
S&-SEC-B01-007,S&T,Axle Counter,Demo Division,SEC-B01,Badnera–Akola,174.073,MEDIUM,ACTIVE,5,HIGH
S&-SEC-B01-008,S&T,Cable,Demo Division,SEC-B01,Badnera–Akola,200.997,MEDIUM,ACTIVE,1,HIGH
S&-SEC-B01-009,S&T,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,179.75,MEDIUM,ACTIVE,11,MEDIUM
S&-SEC-B01-010,S&T,Signal,Demo Division,SEC-B01,Badnera–Akola,230.725,MEDIUM,ACTIVE,8,MEDIUM
S&-SEC-B01-011,S&T,Relay,Demo Division,SEC-B01,Badnera–Akola,184.014,MEDIUM,ACTIVE,5,MEDIUM
S&-SEC-B01-012,S&T,Signal,Demo Division,SEC-B01,Badnera–Akola,226.282,MEDIUM,UNDER_MAINTENANCE,8,HIGH
S&-SEC-B01-013,S&T,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,209.365,MEDIUM,ACTIVE,3,HIGH
S&-SEC-B01-014,S&T,Electronic Interlocking,Demo Division,SEC-B01,Badnera–Akola,203.517,MEDIUM,ACTIVE,2,HIGH
S&-SEC-B01-015,S&T,Signal,Demo Division,SEC-B01,Badnera–Akola,203.099,MEDIUM,UNDER_MAINTENANCE,10,LOW
S&-SEC-B01-016,S&T,Electronic Interlocking,Demo Division,SEC-B01,Badnera–Akola,208.397,MEDIUM,UNDER_MAINTENANCE,8,MEDIUM
S&-SEC-B01-017,S&T,Axle Counter,Demo Division,SEC-B01,Badnera–Akola,229.623,MEDIUM,UNDER_MAINTENANCE,5,LOW
S&-SEC-B01-018,S&T,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,159.388,MEDIUM,ACTIVE,13,HIGH
S&-SEC-B01-019,S&T,Cable,Demo Division,SEC-B01,Badnera–Akola,172.628,MEDIUM,ACTIVE,3,HIGH
S&-SEC-B01-020,S&T,Point Machine,Demo Division,SEC-B01,Badnera–Akola,202.565,MEDIUM,ACTIVE,1,MEDIUM
EN-SEC-B02-001,ENGINEERING,Ballast,Demo Division,SEC-B02,Akola–Bhusawal,305.384,MEDIUM,UNDER_MAINTENANCE,5,HIGH
EN-SEC-B02-002,ENGINEERING,Weld,Demo Division,SEC-B02,Akola–Bhusawal,268.548,MEDIUM,ACTIVE,12,MEDIUM
EN-SEC-B02-003,ENGINEERING,Rail,Demo Division,SEC-B02,Akola–Bhusawal,305.202,MEDIUM,ACTIVE,13,LOW
EN-SEC-B02-004,ENGINEERING,Turnout,Demo Division,SEC-B02,Akola–Bhusawal,302.797,MEDIUM,ACTIVE,7,HIGH
EN-SEC-B02-005,ENGINEERING,Turnout,Demo Division,SEC-B02,Akola–Bhusawal,262.738,MEDIUM,ACTIVE,15,MEDIUM
EN-SEC-B02-006,ENGINEERING,Bridge Approach,Demo Division,SEC-B02,Akola–Bhusawal,255.157,MEDIUM,ACTIVE,3,MEDIUM
EN-SEC-B02-007,ENGINEERING,Turnout,Demo Division,SEC-B02,Akola–Bhusawal,310.854,MEDIUM,ACTIVE,8,HIGH
EN-SEC-B02-008,ENGINEERING,Ballast,Demo Division,SEC-B02,Akola–Bhusawal,305.321,MEDIUM,UNDER_MAINTENANCE,5,LOW
EN-SEC-B02-009,ENGINEERING,Turnout,Demo Division,SEC-B02,Akola–Bhusawal,287.43,MEDIUM,ACTIVE,10,HIGH
EN-SEC-B02-010,ENGINEERING,Ballast,Demo Division,SEC-B02,Akola–Bhusawal,309.53,MEDIUM,ACTIVE,1,HIGH
EN-SEC-B02-011,ENGINEERING,Weld,Demo Division,SEC-B02,Akola–Bhusawal,330.403,MEDIUM,ACTIVE,13,LOW
