defect_id,source_system,department,asset_id,asset_type,division,section_id,section_name,km_location,severity,safety_impact,reported_date,due_date,overdue_days,estimated_duration_minutes,block_requirement,traffic_density,asset_criticality,status,detection_source,evidence_reference,resolved_date,actual_duration_minutes,quality_outcome
TDMS-2026-0035,TDMS,TRACTION,TR-SEC-A01-017,Mast,Demo Division,SEC-A01,Nagpur–Wardha,73.765,HIGH,4,2025-11-27,2025-12-04,0,90,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0035,2025-12-06,72,PASS
TDMS-2026-0036,TDMS,TRACTION,TR-SEC-A02-004,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,108.903,MEDIUM,3,2026-01-03,2026-01-24,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0036,2026-01-27,68,OBSERVATION_RAISED
TDMS-2026-0037,TDMS,TRACTION,TR-SEC-A01-003,Mast,Demo Division,SEC-A01,Nagpur–Wardha,69.951,MEDIUM,3,2026-03-04,2026-03-25,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0037,2026-03-07,86,OBSERVATION_RAISED
TDMS-2026-0038,TDMS,TRACTION,TR-SEC-A02-008,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,131.257,LOW,2,2026-02-12,2026-03-29,0,30,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Field survey,EVD-H-TDMS-2026-0038,2026-02-27,58,OBSERVATION_RAISED
TDMS-2026-0039,TDMS,TRACTION,TR-SEC-A02-009,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,113.778,LOW,2,2025-08-21,2025-10-05,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Field survey,EVD-H-TDMS-2026-0039,2025-09-04,57,PASS
TDMS-2026-0040,TDMS,TRACTION,TR-SEC-A01-014,Mast,Demo Division,SEC-A01,Nagpur–Wardha,1.615,LOW,2,2026-04-22,2026-06-06,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Visual inspection,EVD-H-TDMS-2026-0040,2026-05-12,83,OBSERVATION_RAISED
TDMS-2026-0041,TDMS,TRACTION,TR-SEC-C01-020,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,376.238,LOW,2,2026-07-09,2026-08-23,0,45,POWER_AND_TRAFFIC_BLOCK,LOW,LOW,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0041,2026-07-29,34,OBSERVATION_RAISED
TDMS-2026-0042,TDMS,TRACTION,TR-SEC-C01-013,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,382.549,CRITICAL,5,2026-01-27,2026-01-28,0,120,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0042,2026-02-17,117,PASS
TDMS-2026-0043,TDMS,TRACTION,TR-SEC-B02-017,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,320.682,CRITICAL,5,2026-05-29,2026-05-30,0,150,POWER_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0043,2026-06-07,179,PASS
TDMS-2026-0044,TDMS,TRACTION,TR-SEC-A01-015,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,4.607,HIGH,4,2026-06-09,2026-06-16,0,90,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Routine patrol,EVD-H-TDMS-2026-0044,2026-06-24,81,OBSERVATION_RAISED
TDMS-2026-0045,TDMS,TRACTION,TR-SEC-A01-001,Mast,Demo Division,SEC-A01,Nagpur–Wardha,30.88,CRITICAL,5,2026-02-06,2026-02-07,0,150,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Field survey,EVD-H-TDMS-2026-0045,2026-02-12,175,PASS
TDMS-2026-0046,TDMS,TRACTION,TR-SEC-A02-002,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,101.466,HIGH,4,2026-06-14,2026-06-21,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0046,2026-06-26,75,PASS
TDMS-2026-0047,TDMS,TRACTION,TR-SEC-A01-004,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,39.741,MEDIUM,3,2025-09-28,2025-10-19,0,45,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0047,2025-10-12,74,OBSERVATION_RAISED
TDMS-2026-0048,TDMS,TRACTION,TR-SEC-A02-010,Section Insulator,Demo Division,SEC-A02,Wardha–Badnera,101.233,HIGH,4,2026-01-30,2026-02-06,0,90,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0048,2026-02-04,123,PASS
TDMS-2026-0049,TDMS,TRACTION,TR-SEC-B02-002,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,246.838,HIGH,4,2026-04-28,2026-05-05,0,120,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Field survey,EVD-H-TDMS-2026-0049,2026-05-04,120,PASS
TDMS-2026-0050,TDMS,TRACTION,TR-SEC-B02-020,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,288.21,MEDIUM,3,2026-02-06,2026-02-27,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0050,2026-02-11,80,PASS
TDMS-2026-0051,TDMS,TRACTION,TR-SEC-A02-016,Dropper,Demo Division,SEC-A02,Wardha–Badnera,86.866,MEDIUM,3,2026-04-28,2026-05-19,0,45,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Routine patrol,EVD-H-TDMS-2026-0051,2026-05-20,64,PASS
TDMS-2026-0052,TDMS,TRACTION,TR-SEC-A01-012,Dropper,Demo Division,SEC-A01,Nagpur–Wardha,47.478,HIGH,4,2026-04-11,2026-04-18,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Field survey,EVD-H-TDMS-2026-0052,2026-05-06,76,OBSERVATION_RAISED
TDMS-2026-0053,TDMS,TRACTION,TR-SEC-C01-005,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,360.427,MEDIUM,3,2025-11-23,2025-12-14,0,90,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Field survey,EVD-H-TDMS-2026-0053,2025-12-01,121,OBSERVATION_RAISED
TDMS-2026-0054,TDMS,TRACTION,TR-SEC-B01-005,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,180.579,MEDIUM,3,2026-04-12,2026-05-03,0,45,POWER_AND_TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0054,2026-04-23,63,PASS
TDMS-2026-0055,TDMS,TRACTION,TR-SEC-B02-014,Mast,Demo Division,SEC-B02,Akola–Bhusawal,291.542,MEDIUM,3,2025-09-25,2025-10-16,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0055,2025-09-29,60,PASS
TDMS-2026-0056,TDMS,TRACTION,TR-SEC-A01-006,Mast,Demo Division,SEC-A01,Nagpur–Wardha,46.501,MEDIUM,3,2025-08-31,2025-09-21,0,45,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0056,2025-09-14,40,PASS
TDMS-2026-0057,TDMS,TRACTION,TR-SEC-A02-006,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,91.696,HIGH,4,2025-10-28,2025-11-04,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Field survey,EVD-H-TDMS-2026-0057,2025-10-29,45,OBSERVATION_RAISED
TDMS-2026-0058,TDMS,TRACTION,TR-SEC-B02-018,Feeder,Demo Division,SEC-B02,Akola–Bhusawal,285.519,MEDIUM,3,2025-09-12,2025-10-03,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0058,2025-10-03,83,OBSERVATION_RAISED
TDMS-2026-0059,TDMS,TRACTION,TR-SEC-B02-015,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,291.987,MEDIUM,3,2026-01-23,2026-02-13,0,45,POWER_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0059,2026-01-25,50,PASS
TDMS-2026-0060,TDMS,TRACTION,TR-SEC-B02-003,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,282.319,MEDIUM,3,2025-10-09,2025-10-30,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0060,2025-10-18,92,PASS
SMMS-2026-0061,SMMS,S&T,S&-SEC-C01-014,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,386.2,LOW,2,2025-09-18,2025-11-02,0,60,TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Routine patrol,EVD-H-SMMS-2026-0061,2025-10-05,65,PASS
SMMS-2026-0062,SMMS,S&T,S&-SEC-B02-008,Axle Counter,Demo Division,SEC-B02,Akola–Bhusawal,333.664,LOW,2,2026-05-11,2026-06-25,0,60,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Maintenance inspection,EVD-H-SMMS-2026-0062,2026-05-22,79,PASS
SMMS-2026-0063,SMMS,S&T,S&-SEC-A01-007,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,31.769,LOW,2,2025-11-09,2025-12-24,0,60,TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Field survey,EVD-H-SMMS-2026-0063,2025-11-10,63,PASS
SMMS-2026-0064,SMMS,S&T,S&-SEC-B02-005,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,304.006,HIGH,4,2025-09-10,2025-09-17,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Field survey,EVD-H-SMMS-2026-0064,2025-09-29,84,PASS
SMMS-2026-0065,SMMS,S&T,S&-SEC-C01-017,Axle Counter,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.281,MEDIUM,3,2026-07-03,2026-07-24,0,90,TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Routine patrol,EVD-H-SMMS-2026-0065,2026-07-22,114,PASS
SMMS-2026-0066,SMMS,S&T,S&-SEC-C01-004,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.889,LOW,2,2025-11-02,2025-12-17,0,45,TRAFFIC_BLOCK,LOW,LOW,RESOLVED,Maintenance inspection,EVD-H-SMMS-2026-0066,2025-11-26,71,PASS
SMMS-2026-0067,SMMS,S&T,S&-SEC-C01-019,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,371.409,HIGH,4,2025-11-03,2025-11-10,0,120,TRAFFIC_BLOCK,LOW,MEDIUM,RESOLVED,Routine patrol,EVD-H-SMMS-2026-0067,2025-11-21,121,PASS
SMMS-2026-0068,SMMS,S&T,S&-SEC-B01-003,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,183.143,HIGH,4,2026-02-16,2026-02-23,0,90,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Field survey,EVD-H-SMMS-2026-0068,2026-03-11,83,OBSERVATION_RAISED
SMMS-2026-0069,SMMS,S&T,S&-SEC-A02-006,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,128.041,MEDIUM,3,2025-12-17,2026-01-07,0,60,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Condition monitoring,EVD-H-SMMS-2026-0069,2025-12-29,89,PASS
SMMS-2026-0070,SMMS,S&T,S&-SEC-A01-016,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,61.183,MEDIUM,3,2026-03-30,2026-04-20,0,60,TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Routine patrol,EVD-H-SMMS-2026-0070,2026-04-17,57,PASS
SMMS-2026-0071,SMMS,S&T,S&-SEC-B02-018,Track Circuit,Demo Division,SEC-B02,Akola–Bhusawal,269.562,LOW,2,2025-12-15,2026-01-29,0,60,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Visual inspection,EVD-H-SMMS-2026-0071,2025-12-26,85,OBSERVATION_RAISED
SMMS-2026-0072,SMMS,S&T,S&-SEC-A01-010,Cable,Demo Division,SEC-A01,Nagpur–Wardha,26.498,LOW,2,2025-11-19,2026-01-03,0,45,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Condition monitoring,EVD-H-SMMS-2026-0072,2025-12-10,37,PASS
SMMS-2026-0073,SMMS,S&T,S&-SEC-B02-012,Point Machine,Demo Division,SEC-B02,Akola–Bhusawal,264.517,MEDIUM,3,2026-04-28,2026-05-19,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Visual inspection,EVD-H-SMMS-2026-0073,2026-05-12,123,PASS
SMMS-2026-0074,SMMS,S&T,S&-SEC-C01-018,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,357.186,CRITICAL,5,2026-07-23,2026-07-24,0,120,TRAFFIC_BLOCK,LOW,LOW,RESOLVED,Visual inspection,EVD-H-SMMS-2026-0074,2026-08-02,136,PASS
SMMS-2026-0075,SMMS,S&T,S&-SEC-A02-015,Electronic Interlocking,Demo Division,SEC-A02,Wardha–Badnera,113.32,CRITICAL,5,2025-10-23,2025-10-24,0,120,TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Routine patrol,EVD-H-SMMS-2026-0075,2025-11-07,117,PASS
SMMS-2026-0076,SMMS,S&T,S&-SEC-B02-016,Cable,Demo Division,SEC-B02,Akola–Bhusawal,242.963,HIGH,4,2026-02-07,2026-02-14,0,120,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Field survey,EVD-H-SMMS-2026-0076,2026-02-26,143,PASS
SMMS-2026-0077,SMMS,S&T,S&-SEC-C01-003,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,382.481,LOW,2,2025-11-02,2025-12-17,0,30,TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Routine patrol,EVD-H-SMMS-2026-0077,2025-11-13,35,PASS
SMMS-2026-0078,SMMS,S&T,S&-SEC-A02-004,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,110.686,MEDIUM,3,2026-01-11,2026-02-01,0,60,TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Field survey,EVD-H-SMMS-2026-0078,2026-02-03,55,PASS
SMMS-2026-0079,SMMS,S&T,S&-SEC-B01-020,Point Machine,Demo Division,SEC-B01,Badnera–Akola,202.565,HIGH,4,2026-05-01,2026-05-08,0,60,TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Field survey,EVD-H-SMMS-2026-0079,2026-05-22,58,PASS
SMMS-2026-0080,SMMS,S&T,S&-SEC-B01-006,Cable,Demo Division,SEC-B01,Badnera–Akola,196.613,MEDIUM,3,2025-10-07,2025-10-28,0,45,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Condition monitoring,EVD-H-SMMS-2026-0080,2025-10-23,73,PASS
SMMS-2026-0081,SMMS,S&T,S&-SEC-B02-014,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,277.218,HIGH,4,2026-06-23,2026-06-30,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Visual inspection,EVD-H-SMMS-2026-0081,2026-07-11,102,PASS
SMMS-2026-0082,SMMS,S&T,S&-SEC-A01-013,Signal,Demo Division,SEC-A01,Nagpur–Wardha,4.036,MEDIUM,3,2025-11-12,2025-12-03,0,90,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Maintenance inspection,EVD-H-SMMS-2026-0082,2025-11-15,102,OBSERVATION_RAISED
