defect_id,source_system,department,asset_id,asset_type,division,section_id,section_name,km_location,severity,safety_impact,reported_date,due_date,overdue_days,estimated_duration_minutes,block_requirement,traffic_density,asset_criticality,status,detection_source,evidence_reference
TMS-2026-0018,TMS,ENGINEERING,EN-SEC-B01-005,Track Circuit Bond,Demo Division,SEC-B01,Badnera–Akola,155.815,MEDIUM,3,2026-08-29,2026-09-19,0,90,TRAFFIC_BLOCK,MEDIUM,HIGH,ACKNOWLEDGED,Routine patrol,EVD-TMS-2026-0018
TMS-2026-0019,TMS,ENGINEERING,EN-SEC-B02-019,Rail,Demo Division,SEC-B02,Akola–Bhusawal,331.163,MEDIUM,3,2026-08-17,2026-09-07,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,PLANNED,USFD,EVD-TMS-2026-0019
TMS-2026-0020,TMS,ENGINEERING,EN-SEC-A01-011,Rail,Demo Division,SEC-A01,Nagpur–Wardha,43.049,MEDIUM,3,2026-09-06,2026-09-27,0,45,TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Condition monitoring,EVD-TMS-2026-0020
TMS-2026-0021,TMS,ENGINEERING,EN-SEC-A01-003,Rail,Demo Division,SEC-A01,Nagpur–Wardha,2.418,LOW,2,2026-09-01,2026-10-16,0,60,TRAFFIC_BLOCK,HIGH,LOW,OPEN,Field survey,EVD-TMS-2026-0021
TMS-2026-0022,TMS,ENGINEERING,EN-SEC-B02-014,Weld,Demo Division,SEC-B02,Akola–Bhusawal,333.62,LOW,2,2026-08-27,2026-10-11,0,60,TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Condition monitoring,EVD-TMS-2026-0022
TMS-2026-0023,TMS,ENGINEERING,EN-SEC-C01-018,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,381.672,CRITICAL,5,2026-08-20,2026-08-21,17,150,TRAFFIC_BLOCK,LOW,LOW,OPEN,Condition monitoring,EVD-TMS-2026-0023
TMS-2026-0024,TMS,ENGINEERING,EN-SEC-B02-003,Rail,Demo Division,SEC-B02,Akola–Bhusawal,305.202,MEDIUM,3,2026-08-20,2026-09-10,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,PLANNED,Routine patrol,EVD-TMS-2026-0024
TMS-2026-0025,TMS,ENGINEERING,EN-SEC-A01-020,Rail,Demo Division,SEC-A01,Nagpur–Wardha,16.514,LOW,2,2026-08-08,2026-09-22,0,60,TRAFFIC_BLOCK,HIGH,LOW,PLANNED,Visual inspection,EVD-TMS-2026-0025
TMS-2026-0026,TMS,ENGINEERING,EN-SEC-A02-016,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,146.725,MEDIUM,3,2026-08-06,2026-08-27,11,45,TRAFFIC_BLOCK,HIGH,LOW,PLANNED,Field survey,EVD-TMS-2026-0026
TMS-2026-0027,TMS,ENGINEERING,EN-SEC-C01-015,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.749,MEDIUM,3,2026-08-23,2026-09-13,0,60,TRAFFIC_BLOCK,LOW,LOW,OPEN,Visual inspection,EVD-TMS-2026-0027
TMS-2026-0028,TMS,ENGINEERING,EN-SEC-A02-008,Turnout,Demo Division,SEC-A02,Wardha–Badnera,153.604,MEDIUM,3,2026-08-08,2026-08-29,9,90,TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Visual inspection,EVD-TMS-2026-0028
TMS-2026-0029,TMS,ENGINEERING,EN-SEC-B01-007,Turnout,Demo Division,SEC-B01,Badnera–Akola,219.732,HIGH,4,2026-08-03,2026-08-10,28,120,TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Field survey,EVD-TMS-2026-0029
TMS-2026-0030,TMS,ENGINEERING,EN-SEC-A02-019,Ballast,Demo Division,SEC-A02,Wardha–Badnera,119.917,MEDIUM,3,2026-08-09,2026-08-30,8,60,TRAFFIC_BLOCK,HIGH,HIGH,OPEN,USFD,EVD-TMS-2026-0030
TDMS-2026-0031,TDMS,TRACTION,TR-SEC-C01-004,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,342.413,MEDIUM,3,2026-09-07,2026-09-28,0,45,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,OPEN,Visual inspection,EVD-TDMS-2026-0031
TDMS-2026-0032,TDMS,TRACTION,TR-SEC-A02-011,Feeder,Demo Division,SEC-A02,Wardha–Badnera,92.739,MEDIUM,3,2026-08-08,2026-08-29,9,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Visual inspection,EVD-TDMS-2026-0032
TDMS-2026-0033,TDMS,TRACTION,TR-SEC-B01-017,Feeder,Demo Division,SEC-B01,Badnera–Akola,231.373,HIGH,4,2026-09-01,2026-09-08,0,120,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Maintenance inspection,EVD-TDMS-2026-0033
TDMS-2026-0034,TDMS,TRACTION,TR-SEC-A02-005,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,90.418,CRITICAL,5,2026-08-08,2026-08-09,29,150,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,ACKNOWLEDGED,Condition monitoring,EVD-TDMS-2026-0034
TDMS-2026-0035,TDMS,TRACTION,TR-SEC-A01-017,Mast,Demo Division,SEC-A01,Nagpur–Wardha,73.765,HIGH,4,2026-09-05,2026-09-12,0,90,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,PLANNED,Maintenance inspection,EVD-TDMS-2026-0035
TDMS-2026-0036,TDMS,TRACTION,TR-SEC-A02-004,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,108.903,MEDIUM,3,2026-09-04,2026-09-25,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,ACKNOWLEDGED,Condition monitoring,EVD-TDMS-2026-0036
TDMS-2026-0037,TDMS,TRACTION,TR-SEC-A01-003,Mast,Demo Division,SEC-A01,Nagpur–Wardha,69.951,MEDIUM,3,2026-08-27,2026-09-17,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,PLANNED,Maintenance inspection,EVD-TDMS-2026-0037
TDMS-2026-0038,TDMS,TRACTION,TR-SEC-A02-008,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,131.257,LOW,2,2026-08-27,2026-10-11,0,30,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Field survey,EVD-TDMS-2026-0038
TDMS-2026-0039,TDMS,TRACTION,TR-SEC-A02-009,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,113.778,LOW,2,2026-08-10,2026-09-24,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,PLANNED,Field survey,EVD-TDMS-2026-0039
TDMS-2026-0040,TDMS,TRACTION,TR-SEC-A01-014,Mast,Demo Division,SEC-A01,Nagpur–Wardha,1.615,LOW,2,2026-08-13,2026-09-27,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,OPEN,Visual inspection,EVD-TDMS-2026-0040
TDMS-2026-0041,TDMS,TRACTION,TR-SEC-C01-020,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,376.238,LOW,2,2026-09-03,2026-10-18,0,45,POWER_AND_TRAFFIC_BLOCK,LOW,LOW,OPEN,Maintenance inspection,EVD-TDMS-2026-0041
TDMS-2026-0042,TDMS,TRACTION,TR-SEC-C01-013,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,382.549,CRITICAL,5,2026-08-15,2026-08-16,22,120,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,OPEN,Condition monitoring,EVD-TDMS-2026-0042
TDMS-2026-0043,TDMS,TRACTION,TR-SEC-B02-017,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,320.682,CRITICAL,5,2026-09-06,2026-09-07,0,150,POWER_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Maintenance inspection,EVD-TDMS-2026-0043
TDMS-2026-0044,TDMS,TRACTION,TR-SEC-A01-015,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,4.607,HIGH,4,2026-08-25,2026-09-01,6,90,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,OPEN,Routine patrol,EVD-TDMS-2026-0044
TDMS-2026-0045,TDMS,TRACTION,TR-SEC-A01-001,Mast,Demo Division,SEC-A01,Nagpur–Wardha,30.88,CRITICAL,5,2026-08-18,2026-08-19,19,150,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,OPEN,Field survey,EVD-TDMS-2026-0045
TDMS-2026-0046,TDMS,TRACTION,TR-SEC-A02-002,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,101.466,HIGH,4,2026-08-06,2026-08-13,25,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,OPEN,Condition monitoring,EVD-TDMS-2026-0046
TDMS-2026-0047,TDMS,TRACTION,TR-SEC-A01-004,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,39.741,MEDIUM,3,2026-08-03,2026-08-24,14,45,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Condition monitoring,EVD-TDMS-2026-0047
TDMS-2026-0048,TDMS,TRACTION,TR-SEC-A02-010,Section Insulator,Demo Division,SEC-A02,Wardha–Badnera,101.233,HIGH,4,2026-09-03,2026-09-10,0,90,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Maintenance inspection,EVD-TDMS-2026-0048
TDMS-2026-0049,TDMS,TRACTION,TR-SEC-B02-002,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,246.838,HIGH,4,2026-08-30,2026-09-06,1,120,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Field survey,EVD-TDMS-2026-0049
TDMS-2026-0050,TDMS,TRACTION,TR-SEC-B02-020,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,288.21,MEDIUM,3,2026-08-05,2026-08-26,12,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,ACKNOWLEDGED,Maintenance inspection,EVD-TDMS-2026-0050
TDMS-2026-0051,TDMS,TRACTION,TR-SEC-A02-016,Dropper,Demo Division,SEC-A02,Wardha–Badnera,86.866,MEDIUM,3,2026-09-02,2026-09-23,0,45,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,PLANNED,Routine patrol,EVD-TDMS-2026-0051
TDMS-2026-0052,TDMS,TRACTION,TR-SEC-A01-012,Dropper,Demo Division,SEC-A01,Nagpur–Wardha,47.478,HIGH,4,2026-09-05,2026-09-12,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,ACKNOWLEDGED,Field survey,EVD-TDMS-2026-0052
TDMS-2026-0053,TDMS,TRACTION,TR-SEC-C01-005,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,360.427,MEDIUM,3,2026-09-06,2026-09-27,0,90,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,ACKNOWLEDGED,Field survey,EVD-TDMS-2026-0053
TDMS-2026-0054,TDMS,TRACTION,TR-SEC-B01-005,Neutral Section,Demo Division,SEC-B01,Badnera–Akola,180.579,MEDIUM,3,2026-09-03,2026-09-24,0,45,POWER_AND_TRAFFIC_BLOCK,MEDIUM,LOW,OPEN,Condition monitoring,EVD-TDMS-2026-0054
TDMS-2026-0055,TDMS,TRACTION,TR-SEC-B02-014,Mast,Demo Division,SEC-B02,Akola–Bhusawal,291.542,MEDIUM,3,2026-08-18,2026-09-08,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,LOW,ACKNOWLEDGED,Maintenance inspection,EVD-TDMS-2026-0055
TDMS-2026-0056,TDMS,TRACTION,TR-SEC-A01-006,Mast,Demo Division,SEC-A01,Nagpur–Wardha,46.501,MEDIUM,3,2026-08-21,2026-09-11,0,45,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,OPEN,Condition monitoring,EVD-TDMS-2026-0056
TDMS-2026-0057,TDMS,TRACTION,TR-SEC-A02-006,OHE Contact Wire,Demo Division,SEC-A02,Wardha–Badnera,91.696,HIGH,4,2026-08-18,2026-08-25,13,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,OPEN,Field survey,EVD-TDMS-2026-0057
TDMS-2026-0058,TDMS,TRACTION,TR-SEC-B02-018,Feeder,Demo Division,SEC-B02,Akola–Bhusawal,285.519,MEDIUM,3,2026-08-23,2026-09-13,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,LOW,OPEN,Condition monitoring,EVD-TDMS-2026-0058
TDMS-2026-0059,TDMS,TRACTION,TR-SEC-B02-015,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,291.987,MEDIUM,3,2026-09-07,2026-09-28,0,45,POWER_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,ACKNOWLEDGED,Condition monitoring,EVD-TDMS-2026-0059
TDMS-2026-0060,TDMS,TRACTION,TR-SEC-B02-003,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,282.319,MEDIUM,3,2026-08-26,2026-09-16,0,60,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Condition monitoring,EVD-TDMS-2026-0060
SMMS-2026-0061,SMMS,S&T,S&-SEC-C01-014,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,386.2,LOW,2,2026-09-01,2026-10-16,0,60,TRAFFIC_BLOCK,LOW,HIGH,ACKNOWLEDGED,Routine patrol,EVD-SMMS-2026-0061
SMMS-2026-0062,SMMS,S&T,S&-SEC-B02-008,Axle Counter,Demo Division,SEC-B02,Akola–Bhusawal,333.664,LOW,2,2026-08-30,2026-10-14,0,60,TRAFFIC_BLOCK,MEDIUM,HIGH,ACKNOWLEDGED,Maintenance inspection,EVD-SMMS-2026-0062
SMMS-2026-0063,SMMS,S&T,S&-SEC-A01-007,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,31.769,LOW,2,2026-08-19,2026-10-03,0,60,TRAFFIC_BLOCK,HIGH,LOW,ACKNOWLEDGED,Field survey,EVD-SMMS-2026-0063
SMMS-2026-0064,SMMS,S&T,S&-SEC-B02-005,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,304.006,HIGH,4,2026-08-12,2026-08-19,19,90,TRAFFIC_BLOCK,MEDIUM,LOW,ACKNOWLEDGED,Field survey,EVD-SMMS-2026-0064
SMMS-2026-0065,SMMS,S&T,S&-SEC-C01-017,Axle Counter,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.281,MEDIUM,3,2026-08-28,2026-09-18,0,90,TRAFFIC_BLOCK,LOW,HIGH,OPEN,Routine patrol,EVD-SMMS-2026-0065
SMMS-2026-0066,SMMS,S&T,S&-SEC-C01-004,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.889,LOW,2,2026-08-10,2026-09-24,0,45,TRAFFIC_BLOCK,LOW,LOW,OPEN,Maintenance inspection,EVD-SMMS-2026-0066
SMMS-2026-0067,SMMS,S&T,S&-SEC-C01-019,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,371.409,HIGH,4,2026-08-05,2026-08-12,26,120,TRAFFIC_BLOCK,LOW,MEDIUM,OPEN,Routine patrol,EVD-SMMS-2026-0067
SMMS-2026-0068,SMMS,S&T,S&-SEC-B01-003,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,183.143,HIGH,4,2026-08-22,2026-08-29,9,90,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Field survey,EVD-SMMS-2026-0068
SMMS-2026-0069,SMMS,S&T,S&-SEC-A02-006,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,128.041,MEDIUM,3,2026-08-16,2026-09-06,1,60,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,LOW,ACKNOWLEDGED,Condition monitoring,EVD-SMMS-2026-0069
SMMS-2026-0070,SMMS,S&T,S&-SEC-A01-016,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,61.183,MEDIUM,3,2026-08-20,2026-09-10,0,60,TRAFFIC_BLOCK,HIGH,LOW,ACKNOWLEDGED,Routine patrol,EVD-SMMS-2026-0070
SMMS-2026-0071,SMMS,S&T,S&-SEC-B02-018,Track Circuit,Demo Division,SEC-B02,Akola–Bhusawal,269.562,LOW,2,2026-08-23,2026-10-07,0,60,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Visual inspection,EVD-SMMS-2026-0071
SMMS-2026-0072,SMMS,S&T,S&-SEC-A01-010,Cable,Demo Division,SEC-A01,Nagpur–Wardha,26.498,LOW,2,2026-08-30,2026-10-14,0,45,TRAFFIC_BLOCK,HIGH,HIGH,PLANNED,Condition monitoring,EVD-SMMS-2026-0072
SMMS-2026-0073,SMMS,S&T,S&-SEC-B02-012,Point Machine,Demo Division,SEC-B02,Akola–Bhusawal,264.517,MEDIUM,3,2026-09-04,2026-09-25,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,ACKNOWLEDGED,Visual inspection,EVD-SMMS-2026-0073
SMMS-2026-0074,SMMS,S&T,S&-SEC-C01-018,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,357.186,CRITICAL,5,2026-09-05,2026-09-06,1,120,TRAFFIC_BLOCK,LOW,LOW,PLANNED,Visual inspection,EVD-SMMS-2026-0074
SMMS-2026-0075,SMMS,S&T,S&-SEC-A02-015,Electronic Interlocking,Demo Division,SEC-A02,Wardha–Badnera,113.32,CRITICAL,5,2026-08-17,2026-08-18,20,120,TRAFFIC_BLOCK,HIGH,MEDIUM,PLANNED,Routine patrol,EVD-SMMS-2026-0075
SMMS-2026-0076,SMMS,S&T,S&-SEC-B02-016,Cable,Demo Division,SEC-B02,Akola–Bhusawal,242.963,HIGH,4,2026-08-17,2026-08-24,14,120,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Field survey,EVD-SMMS-2026-0076
SMMS-2026-0077,SMMS,S&T,S&-SEC-C01-003,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,382.481,LOW,2,2026-08-13,2026-09-27,0,30,TRAFFIC_BLOCK,LOW,HIGH,OPEN,Routine patrol,EVD-SMMS-2026-0077
SMMS-2026-0078,SMMS,S&T,S&-SEC-A02-004,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,110.686,MEDIUM,3,2026-08-23,2026-09-13,0,60,TRAFFIC_BLOCK,HIGH,MEDIUM,ACKNOWLEDGED,Field survey,EVD-SMMS-2026-0078
SMMS-2026-0079,SMMS,S&T,S&-SEC-B01-020,Point Machine,Demo Division,SEC-B01,Badnera–Akola,202.565,HIGH,4,2026-08-09,2026-08-16,22,60,TRAFFIC_BLOCK,MEDIUM,MEDIUM,PLANNED,Field survey,EVD-SMMS-2026-0079
SMMS-2026-0080,SMMS,S&T,S&-SEC-B01-006,Cable,Demo Division,SEC-B01,Badnera–Akola,196.613,MEDIUM,3,2026-08-24,2026-09-14,0,45,TRAFFIC_BLOCK,MEDIUM,HIGH,ACKNOWLEDGED,Condition monitoring,EVD-SMMS-2026-0080
SMMS-2026-0081,SMMS,S&T,S&-SEC-B02-014,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,277.218,HIGH,4,2026-09-02,2026-09-09,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,PLANNED,Visual inspection,EVD-SMMS-2026-0081
SMMS-2026-0082,SMMS,S&T,S&-SEC-A01-013,Signal,Demo Division,SEC-A01,Nagpur–Wardha,4.036,MEDIUM,3,2026-08-29,2026-09-19,0,90,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Maintenance inspection,EVD-SMMS-2026-0082
SMMS-2026-0083,SMMS,S&T,S&-SEC-A01-009,Signal,Demo Division,SEC-A01,Nagpur–Wardha,52.488,HIGH,4,2026-08-09,2026-08-16,22,120,TRAFFIC_BLOCK,HIGH,MEDIUM,ACKNOWLEDGED,Field survey,EVD-SMMS-2026-0083
SMMS-2026-0084,SMMS,S&T,S&-SEC-A01-005,Axle Counter,Demo Division,SEC-A01,Nagpur–Wardha,52.146,HIGH,4,2026-09-03,2026-09-10,0,90,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,HIGH,PLANNED,Visual inspection,EVD-SMMS-2026-0084
SMMS-2026-0085,SMMS,S&T,S&-SEC-B02-020,Signal,Demo Division,SEC-B02,Akola–Bhusawal,263.875,LOW,2,2026-08-30,2026-10-14,0,45,TRAFFIC_BLOCK,MEDIUM,MEDIUM,PLANNED,Condition monitoring,EVD-SMMS-2026-0085
SMMS-2026-0086,SMMS,S&T,S&-SEC-C01-007,Point Machine,Demo Division,SEC-C01,Bhusawal–Jalgaon,356.363,HIGH,4,2026-08-16,2026-08-23,15,60,TRAFFIC_BLOCK,LOW,MEDIUM,ACKNOWLEDGED,Routine patrol,EVD-SMMS-2026-0086
SMMS-2026-0087,SMMS,S&T,S&-SEC-A01-018,Axle Counter,Demo Division,SEC-A01,Nagpur–Wardha,17.037,MEDIUM,3,2026-08-04,2026-08-25,13,60,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,LOW,OPEN,Field survey,EVD-SMMS-2026-0087
SMMS-2026-0088,SMMS,S&T,S&-SEC-B02-006,Cable,Demo Division,SEC-B02,Akola–Bhusawal,323.567,LOW,2,2026-08-12,2026-09-26,0,30,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,LOW,ACKNOWLEDGED,Condition monitoring,EVD-SMMS-2026-0088
SMMS-2026-0089,SMMS,S&T,S&-SEC-B01-008,Cable,Demo Division,SEC-B01,Badnera–Akola,200.997,MEDIUM,3,2026-09-05,2026-09-26,0,45,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,PLANNED,Visual inspection,EVD-SMMS-2026-0089
SMMS-2026-0090,SMMS,S&T,S&-SEC-B01-011,Relay,Demo Division,SEC-B01,Badnera–Akola,184.014,HIGH,4,2026-08-18,2026-08-25,13,120,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,PLANNED,Maintenance inspection,EVD-SMMS-2026-0090
